,post_id,text,post_text,shared_text,time,image,video,video_thumbnail,video_id,likes,comments,shares,post_url,link,user_id,username,is_live,images
0,10158024835731381,Have you rolled up your sleeves to #GetVaccinated like Emaury? Share your story now: https://getvaccinated.us/stories/#share,Have you rolled up your sleeves to #GetVaccinated like Emaury? Share your story now: https://getvaccinated.us/stories/#share,,2021-03-12 09:10:03,https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-9/158858707_10158024835736381_9175657658723891704_o.png?_nc_cat=105&ccb=1-3&_nc_sid=da1649&_nc_ohc=t868qPGc0hgAX8_zAqY&_nc_ht=scontent-iad3-1.xx&oh=2990fa82f8c785368b98fe1c48082e05&oe=6072138D,,,,1,0,0,https://facebook.com/ahcancal/posts/10158024835731381,https://getvaccinated.us/stories/#share,54996531380,American Health Care Association/National Center for Assisted Living,False,"['https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-9/158858707_10158024835736381_9175657658723891704_o.png?_nc_cat=105&ccb=1-3&_nc_sid=da1649&_nc_ohc=t868qPGc0hgAX8_zAqY&_nc_ht=scontent-iad3-1.xx&oh=2990fa82f8c785368b98fe1c48082e05&oe=6072138D', 'https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-9/158858707_10158024835736381_9175657658723891704_o.png?_nc_cat=105&ccb=1-3&_nc_sid=da1649&_nc_ohc=t868qPGc0hgAX8_zAqY&_nc_ht=scontent-iad3-1.xx&oh=2990fa82f8c785368b98fe1c48082e05&oe=6072138D', 'https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-9/158858707_10158024835736381_9175657658723891704_o.png?_nc_cat=105&ccb=1-3&_nc_sid=da1649&_nc_ohc=t868qPGc0hgAX8_zAqY&_nc_ht=scontent-iad3-1.xx&oh=2990fa82f8c785368b98fe1c48082e05&oe=6072138D']"
1,10159398367533960,"Many long-term care facilities are now accepting visitors, but protocols vary widely depending on where you live. Use our guide to find your state to see its current nursing home visitation guidance.

AARP.ORG
Are Nursing Home Visits Allowed in My State?","Many long-term care facilities are now accepting visitors, but protocols vary widely depending on where you live. Use our guide to find your state to see its current nursing home visitation guidance.","AARP.ORG
Are Nursing Home Visits Allowed in My State?",2021-03-12 16:10:49,,,,,23,0,4,https://facebook.com/aarp/posts/10159398367533960,http://spr.ly/6187HUOMH,57259033959,AARP,False,[]
2,10159398201553960,"It's so easy to get stuck in a beauty rut. But here's the thing: If you don't keep trying something new, you miss the chance to make better use of your time, money and looks. Ready? Here are 10 changes that'll do it.

AARP.ORG
10 New Beauty Habits to Make and 10 Old Ones to Break","It's so easy to get stuck in a beauty rut. But here's the thing: If you don't keep trying something new, you miss the chance to make better use of your time, money and looks. Ready? Here are 10 changes that'll do it.","AARP.ORG
10 New Beauty Habits to Make and 10 Old Ones to Break",2021-03-12 15:10:03,,,,,21,3,2,https://facebook.com/aarp/posts/10159398201553960,http://spr.ly/6182HUOKQ,57259033959,AARP,False,[]
3,10159398150708960,"Latina women were among the first pandemic-related layoffs last year, but there's reason to hope. See why the resurgence of the hospitality industry will mean new opportunities for those hit hardest.

AARP.ORG
New Job Opportunities Emerge for Latinas Post-Pandemic","Latina women were among the first pandemic-related layoffs last year, but there's reason to hope. See why the resurgence of the hospitality industry will mean new opportunities for those hit hardest.","AARP.ORG
New Job Opportunities Emerge for Latinas Post-Pandemic",2021-03-12 14:37:34,,,,,53,8,0,https://facebook.com/aarp/posts/10159398150708960,http://spr.ly/6185HUOyX,57259033959,AARP,False,[]
4,10159397911643960,The third round of federal stimulus payments will begin to be distributed to the public in the coming days. Here are five things you should know.,The third round of federal stimulus payments will begin to be distributed to the public in the coming days. Here are five things you should know.,,2021-03-12 13:02:38,,https://video-iad3-1.xx.fbcdn.net/v/t42.1790-2/159844904_4075210099195681_782582398271859320_n.mp4?_nc_cat=104&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=VXeBfwWqCU4AX-BjJf5&_nc_ht=video-iad3-1.xx&oh=d6cbaf9128db69b1b25c86acc726ec0e&oe=604C083B,https://scontent-iad3-1.xx.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/154783695_472843897235360_4868096718303554086_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=L8kwSA3E8RAAX-rJWfM&_nc_ht=scontent-iad3-1.xx&tp=3&oh=1531e356571609dbb0f0efbf7b83b1df&oe=607231AB,472843477235402,36,0,0,https://facebook.com/aarp/videos/472843477235402,,57259033959,AARP,False,[]
5,10159397803653960,"How much relief is the new pandemic stimulus bill expected to provide? Which actor recently told us his goal is to live to be 120 years old? Test your knowledge of some of the week's biggest news stories.

AARP.ORG
Take AARP's Newest Weekly News Quiz",How much relief is the new pandemic stimulus bill expected to provide? Which actor recently told us his goal is to live to be 120 years old? Test your knowledge of some of the week's biggest news stories.,"AARP.ORG
Take AARP's Newest Weekly News Quiz",2021-03-12 12:04:53,,,,,64,0,2,https://facebook.com/aarp/posts/10159397803653960,http://spr.ly/6189HUuL9,57259033959,AARP,False,[]
6,10159397597478960,"Spring is right around the corner 💐 and today is National Plant a Flower Day! Flowers cheer up a home's interior and are an instant mood-lifter. Here's how to grow your own blooms.

AARP.ORG
How to Plant a Cut Flower Garden This Summer",Spring is right around the corner 💐 and today is National Plant a Flower Day! Flowers cheer up a home's interior and are an instant mood-lifter. Here's how to grow your own blooms.,"AARP.ORG
How to Plant a Cut Flower Garden This Summer",2021-03-12 09:58:49,,,,,28,0,6,https://facebook.com/aarp/posts/10159397597478960,http://spr.ly/6187HU3AW,57259033959,AARP,False,[]
7,10159395993618960,"The IRS will once again be sending some economic stimulus payments in the form of prepaid debit cards, or Economic Impact Payment cards. Make sure you don't throw yours away.","The IRS will once again be sending some economic stimulus payments in the form of prepaid debit cards, or Economic Impact Payment cards. Make sure you don't throw yours away.",,2021-03-11 18:00:02,,https://video-iad3-1.xx.fbcdn.net/v/t42.9040-2/106365992_1272507396413709_8027669621964657568_n.mp4?_nc_cat=107&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=wpvdtCC7-iEAX_BRmsf&_nc_ht=video-iad3-1.xx&oh=6d828f9d01b27cfd6f2663eec46d72d5&oe=604BFCC6,https://scontent-iad3-1.xx.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/77308740_708245319738031_4876436284905408223_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=cQU4F-kz4n0AX9v58UV&_nc_ht=scontent-iad3-1.xx&tp=3&oh=d574afe79ed58c227180d3700d67c10b&oe=60719BD2,871030340126194,69,11,0,https://facebook.com/aarp/videos/871030340126194,,57259033959,AARP,False,[]
8,10159395979263960,"Talking to someone about potentially risky behavior amid the pandemic can be tricky — and when it's your family, it can be especially difficult. These tips from an etiquette expert can help.","Talking to someone about potentially risky behavior amid the pandemic can be tricky — and when it's your family, it can be especially difficult. These tips from an etiquette expert can help.",,2021-03-11 17:29:41,,https://video-iad3-1.xx.fbcdn.net/v/t42.1790-2/158626102_1390708244630454_8859179230318344577_n.mp4?_nc_cat=106&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=3WOgVt-w69UAX9Dc1wy&_nc_ht=video-iad3-1.xx&oh=c0dc2b6d76a728cb500499735c8efa5e&oe=604C058F,https://scontent-iad3-1.xx.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/156982962_948520932553784_2204665060768937494_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=O5KAwtSjaNEAX8PBQAq&_nc_ht=scontent-iad3-1.xx&tp=3&oh=9bfad30d9f89c9ab07910d7abb971bfc&oe=60701207,948520592553818,91,12,0,https://facebook.com/aarp/videos/948520592553818,,57259033959,AARP,False,[]
9,3704309636290689,"Reunited and It Feels So Good
Roughly 93 million have had #covid19 vaccines administered, with half going to adults aged 65+. So what are seniors thankful for? Visiting family. Find out from NCOA's Kathleen Cameron why this is important.
https://bit.ly/3l5x7lf

WJLA.COM
'It means the world to them': Vaccines reunite older adults with friends, family","Reunited and It Feels So Good
Roughly 93 million have had #covid19 vaccines administered, with half going to adults aged 65+. So what are seniors thankful for? Visiting family. Find out from NCOA's Kathleen Cameron why this is important.
https://bit.ly/3l5x7lf","WJLA.COM
'It means the world to them': Vaccines reunite older adults with friends, family",2021-03-12 11:55:25,,,,,25,2,0,https://facebook.com/ncoaging/posts/3704309636290689,https://bit.ly/3l5x7lf,131217580266597,National Council on Aging,False,[]
10,3702352539819732,"American Rescue Plan: Step Toward Social Justice for Seniors
NCOA applauds President Biden and Congress for protecting our most vulnerable seniors in this time of crisis. Learn more about the provisions and NCOA's priorities that are in the American Rescue Plan.
https://bit.ly/3qFoLSz

NCOA.ORG
American Rescue Plan: Step Toward Social Justice for Seniors","American Rescue Plan: Step Toward Social Justice for Seniors
NCOA applauds President Biden and Congress for protecting our most vulnerable seniors in this time of crisis. Learn more about the provisions and NCOA's priorities that are in the American Rescue Plan.
https://bit.ly/3qFoLSz","NCOA.ORG
American Rescue Plan: Step Toward Social Justice for Seniors",2021-03-11 16:51:21,,,,,18,2,0,https://facebook.com/ncoaging/posts/3702352539819732,https://bit.ly/3qFoLSz,131217580266597,National Council on Aging,False,[]
11,10158855103448080,"Rohit Chopra has been working to protect consumers since the CFPB's first launch in 2011. Now Chopra has the chance to lead the CFPB in a new direction, away from allowing business-as-usual and toward empowering consumers.

USPIRG.ORG
Why Rohit Chopra is the consumer champion we need to head the Consumer Bureau | U.S. PIRG","Rohit Chopra has been working to protect consumers since the CFPB's first launch in 2011. Now Chopra has the chance to lead the CFPB in a new direction, away from allowing business-as-usual and toward empowering consumers.","USPIRG.ORG
Why Rohit Chopra is the consumer champion we need to head the Consumer Bureau | U.S. PIRG",2021-03-12 08:30:22,,,,,1,0,0,https://facebook.com/uspirg/posts/10158855103448080,https://uspirg.org/blogs/blog/usp/why-rohit-chopra-consumer-champion-we-need-head-consumer-bureau,11162728079,U.S. PIRG,False,[]
12,10158857970288080,"Toxic waste doesn’t belong in our air, water, or ground. That’s why the U.S. Public Interest Research Group and the Center for Health, Environment & Justice are calling on Congress to pass a Polluter Pays Tax to fund the cleanup of Superfund toxic waste sites. Join our webinar on Thursday, March 18th, at 11:00 am ET to learn more and get involved! https://uspirg.webaction.org/p/salsa/event/common/public/?event_KEY=1091","Toxic waste doesn’t belong in our air, water, or ground. That’s why the U.S. Public Interest Research Group and the Center for Health, Environment & Justice are calling on Congress to pass a Polluter Pays Tax to fund the cleanup of Superfund toxic waste sites. Join our webinar on Thursday, March 18th, at 11:00 am ET to learn more and get involved! https://uspirg.webaction.org/p/salsa/event/common/public/?event_KEY=1091",,2021-03-11 18:07:33,https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-9/159900541_10158857969758080_677105187830279929_n.png?_nc_cat=102&ccb=1-3&_nc_sid=8024bb&_nc_ohc=ci0T_0IKbwsAX_UGH8e&_nc_ht=scontent-iad3-1.xx&oh=aea3ca8ce89789f9760455647029a52a&oe=6071B997,,,,1,0,0,https://facebook.com/uspirg/posts/10158857970288080,https://uspirg.webaction.org/p/salsa/event/common/public/?event_KEY=1091,11162728079,U.S. PIRG,False,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-9/159900541_10158857969758080_677105187830279929_n.png?_nc_cat=102&ccb=1-3&_nc_sid=8024bb&_nc_ohc=ci0T_0IKbwsAX_UGH8e&_nc_ht=scontent-iad3-1.xx&oh=aea3ca8ce89789f9760455647029a52a&oe=6071B997']
13,10157435972865583,"""On top of the supply shortage, the highest vacancy and turnover rates of any practice area for registered nurses and certified nurse aides are in nursing homes. In 2019, the CNA turnover rate in nursing homes was 67%. To say long-term care facilities had been experiencing staffing challenges is an understatement.""

MCKNIGHTS.COM
Lawmakers must address nursing home workforce crisis to ensure quality care - Guest columns - McKnight's Long Term Care News","""On top of the supply shortage, the highest vacancy and turnover rates of any practice area for registered nurses and certified nurse aides are in nursing homes. In 2019, the CNA turnover rate in nursing homes was 67%. To say long-term care facilities had been experiencing staffing challenges is an understatement.""","MCKNIGHTS.COM
Lawmakers must address nursing home workforce crisis to ensure quality care - Guest columns - McKnight's Long Term Care News",2021-03-12 09:05:47,,,,,0,0,0,https://facebook.com/phinational/posts/10157435972865583,https://www.mcknights.com/blogs/guest-columns/lawmakers-must-address-nursing-home-workforce-crisis-to-ensure-quality-care/,127691390582,PHI,False,[]
14,10157994156037525,"In the final installment of our joint series with Next Avenue, Center for the Future of Aging Chairman Paul Irving looks at the main talking points from the interviews, including the need to fight ageism and promote intergenerational connection.

MILKENINSTITUTE.ORG
What 20 Experts Said About COVID-19 and the Future of Aging","In the final installment of our joint series with Next Avenue, Center for the Future of Aging Chairman Paul Irving looks at the main talking points from the interviews, including the need to fight ageism and promote intergenerational connection.","MILKENINSTITUTE.ORG
What 20 Experts Said About COVID-19 and the Future of Aging",2021-03-12 13:19:57,,,,,1,0,0,https://facebook.com/milkeninstitute/posts/10157994156037525,https://milkeninstitute.org/articles/future-aging-20-experts,48724667524,Milken Institute,False,[]
15,10157992315752525,"Consumer trust and data privacy concerns are in the spotlight as Big Tech companies expand their FinTech offerings.

Get the latest on digital banking, cryptocurrency, policy development, and more in this week's FinTech in Focus.

MILKENINSTITUTE.ORG
FinTech in Focus: The Coinbase IPO, Penny Stocks, and Data Privacy","Consumer trust and data privacy concerns are in the spotlight as Big Tech companies expand their FinTech offerings.

Get the latest on digital banking, cryptocurrency, policy development, and more in this week's FinTech in Focus.","MILKENINSTITUTE.ORG
FinTech in Focus: The Coinbase IPO, Penny Stocks, and Data Privacy",2021-03-11 17:01:05,,,,,3,0,0,https://facebook.com/milkeninstitute/posts/10157992315752525,https://milkeninstitute.org/articles/fintech-focus-march-8-2021,48724667524,Milken Institute,False,[]
16,10159738382438676,"Ready for daylight saving time on Sunday? RAND sleep expert Wendy Troxel shares five tips to minimize the negative effects.

RAND.ORG
Don't Let 'Springing Forward' Set You Back in Your Relationship",Ready for daylight saving time on Sunday? RAND sleep expert Wendy Troxel shares five tips to minimize the negative effects.,"RAND.ORG
Don't Let 'Springing Forward' Set You Back in Your Relationship",2021-03-12 16:06:33,,,,,2,0,0,https://facebook.com/randcorporation/posts/10159738382438676,https://www.rand.org/blog/2021/03/dont-let-springing-forward-set-you-back-in-your-relationship.html?utm_campaign=&utm_content=1615583191&utm_medium=rand_social&utm_source=facebook,55708608675,RAND Corporation,False,[]
17,10157823679986475,You're amazing. Don't let anyone tell you otherwise.,You're amazing. Don't let anyone tell you otherwise.,,2021-03-12 09:51:10,https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/159971398_10157823679806475_8763818490885485925_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8024bb&_nc_ohc=sD3Kdsb1lS4AX8CvUWU&_nc_ht=scontent-iad3-1.xx&tp=14&oh=38a65828d96b263fde93f22d3f6ba33e&oe=6072972F,,,,2,0,0,https://facebook.com/nahca/posts/10157823679986475,,345843311474,National Association of Health Care Assistants,False,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/159971398_10157823679806475_8763818490885485925_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8024bb&_nc_ohc=sD3Kdsb1lS4AX8CvUWU&_nc_ht=scontent-iad3-1.xx&tp=14&oh=38a65828d96b263fde93f22d3f6ba33e&oe=6072972F']
18,10157823557821475,"This is our time to shine and to be heard! Nearly 600 CNAs from across the country have already signed up for the free CNA Virtual March on Washington on April 7. Won't you join us?

https://www.nahcacna.org/cna-virtual-march-on-washington/

NAHCACNA.ORG
CNA Virtual March on Washington | NAHCA","This is our time to shine and to be heard! Nearly 600 CNAs from across the country have already signed up for the free CNA Virtual March on Washington on April 7. Won't you join us?

https://www.nahcacna.org/cna-virtual-march-on-washington/","NAHCACNA.ORG
CNA Virtual March on Washington | NAHCA",2021-03-12 08:43:42,,,,,1,0,0,https://facebook.com/nahca/posts/10157823557821475,https://www.nahcacna.org/cna-virtual-march-on-washington/,345843311474,National Association of Health Care Assistants,False,[]
19,10157590225457680,"✊🏾 100+ long-term care workers blocked traffic calling for better wages & more affordable health care. We put ourselves at risk to care & we demand respect.

NEWS.YAHOO.COM
Nursing home workers block traffic in Hartford in protest for higher wages, better working conditions",✊🏾 100+ long-term care workers blocked traffic calling for better wages & more affordable health care. We put ourselves at risk to care & we demand respect.,"NEWS.YAHOO.COM
Nursing home workers block traffic in Hartford in protest for higher wages, better working conditions",2021-03-12 14:00:24,,,,,17,1,0,https://facebook.com/seiu/posts/10157590225457680,https://yhoo.it/3vfhrR0,19972147679,SEIU,False,[]
20,10157588482462680,"COMMON SENSE: raising the minimum wage to $15 will end poverty wages for 32 million working people.

FINANCE.YAHOO.COM
Raising federal minimum wage to $15 by 2025 would boost pay for 32 million Americans: report",COMMON SENSE: raising the minimum wage to $15 will end poverty wages for 32 million working people.,"FINANCE.YAHOO.COM
Raising federal minimum wage to $15 by 2025 would boost pay for 32 million Americans: report",2021-03-11 21:30:04,,,,,29,6,6,https://facebook.com/seiu/posts/10157588482462680,https://yhoo.it/3qyyx8N,19972147679,SEIU,False,[]
21,10157588299917680,"Essential, poor and deportable shouldn't go together. Poverty doesn’t discriminate and neither should our policies. Winning this battle against COVID means we must recognize essential workers, regardless of immigration status, with a $15 min wage and pathway to citizenship!

INDYWEEK.COM
Op-Ed: Immigrants Are on the Front Lines of the Fight for $15","Essential, poor and deportable shouldn't go together. Poverty doesn’t discriminate and neither should our policies. Winning this battle against COVID means we must recognize essential workers, regardless of immigration status, with a $15 min wage and pathway to citizenship!","INDYWEEK.COM
Op-Ed: Immigrants Are on the Front Lines of the Fight for $15",2021-03-11 20:00:14,,,,,30,1,0,https://facebook.com/seiu/posts/10157588299917680,https://bit.ly/3taw1HH,19972147679,SEIU,False,[]
22,10157588156587680,"“We’ve done the hard part. I’ve marched, gone on strike, even gotten arrested. We’ve won the support of the American people. By comparison, Congress’ job now is easy.” https://bit.ly/3qEayFe","“We’ve done the hard part. I’ve marched, gone on strike, even gotten arrested. We’ve won the support of the American people. By comparison, Congress’ job now is easy.” https://bit.ly/3qEayFe",,2021-03-11 18:30:05,https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-9/159619158_10157588156592680_5620436284442276628_o.png?_nc_cat=111&ccb=1-3&_nc_sid=da1649&_nc_ohc=oq8ciRkUspkAX-i1L-U&_nc_ht=scontent-iad3-1.xx&oh=1b964adfbd36a0d3c00d70c03d133a2f&oe=6070816C,,,,96,9,0,https://facebook.com/seiu/posts/10157588156587680,https://bit.ly/3qEayFe,19972147679,SEIU,False,"['https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-9/159619158_10157588156592680_5620436284442276628_o.png?_nc_cat=111&ccb=1-3&_nc_sid=da1649&_nc_ohc=oq8ciRkUspkAX-i1L-U&_nc_ht=scontent-iad3-1.xx&oh=1b964adfbd36a0d3c00d70c03d133a2f&oe=6070816C', 'https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-9/159619158_10157588156592680_5620436284442276628_o.png?_nc_cat=111&ccb=1-3&_nc_sid=da1649&_nc_ohc=oq8ciRkUspkAX-i1L-U&_nc_ht=scontent-iad3-1.xx&oh=1b964adfbd36a0d3c00d70c03d133a2f&oe=6070816C', 'https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-9/159619158_10157588156592680_5620436284442276628_o.png?_nc_cat=111&ccb=1-3&_nc_sid=da1649&_nc_ohc=oq8ciRkUspkAX-i1L-U&_nc_ht=scontent-iad3-1.xx&oh=1b964adfbd36a0d3c00d70c03d133a2f&oe=6070816C']"
